,Timestamp [ms],CPU cores,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Disk read throughput [KB/s],Disk write throughput [KB/s],Network received throughput [KB/s],Network transmitted throughput [KB/s]
0,1376314846,2,5851.998636,3.901332424000001,0.0666666666666666,2097152.0,106254.13333333332,7.933333333333334,1.0666666666666669,0.0,0.0
1,1376315146,2,5851.998636,0.0,0.0,2097152.0,79689.6,0.0,1.0,0.0,0.0
2,1376315446,2,5851.998636,9.75333106,0.1666666666666666,2097152.0,62912.0,0.0,0.0666666666666666,0.0,0.0
3,1376315746,2,5851.998636,0.0,0.0,2097152.0,97865.33333333331,0.0,0.0666666666666666,0.0,0.0
4,1376316046,2,5851.998636,0.0,0.0,2097152.0,127225.33333333331,1.933333333333333,0.3333333333333333,0.0,0.0
5,1376316346,2,5851.998636,0.0,0.0,2097152.0,100661.6,0.0,0.0,0.0,0.0
6,1376316646,2,5851.998636,0.0,0.0,2097152.0,90874.66666666669,0.0,0.4666666666666667,0.0,0.0
7,1376316946,2,5851.998636,0.0,0.0,2097152.0,64310.13333333332,0.1333333333333333,0.5333333333333333,0.0,0.0
8,1376317246,2,5851.998636,0.0,0.0,2097152.0,61513.86666666668,0.0,0.4,0.0,0.0
9,1376317546,2,5851.998636,0.0,0.0,2097152.0,54523.2,0.0,0.0,0.0,0.0
10,1376317846,2,5851.998636,0.0,0.0,2097152.0,81087.73333333334,0.0,0.0,0.0,0.0
11,1376318146,2,5851.998636,0.0,0.0,2097152.0,65708.26666666666,0.0,0.0,0.0,0.0
12,1376318446,2,5851.998636,0.0,0.0,2097152.0,65708.26666666666,0.0,0.4,0.0,0.0
13,1376318746,2,5851.998636,0.0,0.0,2097152.0,78291.46666666666,0.0,0.0,0.0,0.0
14,1376319046,2,5851.998636,0.0,0.0,2097152.0,76893.33333333331,0.0,0.0666666666666666,0.0,0.0
15,1376319346,2,5851.998636,0.0,0.0,2097152.0,79689.6,0.0,0.2,0.0,0.0
16,1376319646,2,5851.998636,0.0,0.0,2097152.0,96467.2,0.8,0.0,0.0,0.0
17,1376319946,2,5851.998636,0.0,0.0,2097152.0,67106.4,0.0,0.0,0.0,0.0
